ID,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
6077,0.0,0.0,27.0,1051.55,0.00862069,0.016896552,9.128607511,0.0,10,2,5,1,13,0,0
6078,0.0,0.0,4.0,45.0,0.0,0.0125,0.0,0.0,3,3,2,3,1,0,0
6079,0.0,0.0,27.0,1199.725758,0.0074074069999999995,0.01691358,9.028406684,0.0,3,1,1,2,3,0,0
6080,0.0,0.0,17.0,328.3,0.0,0.010526316,0.0,0.0,6,3,2,8,2,1,1
6081,0.0,0.0,6.0,96.0,0.0,0.025,0.0,0.0,12,2,2,4,2,1,0
6082,0.0,0.0,33.0,968.6444444,0.019191918999999998,0.023480257,0.0,0.0,11,3,2,1,8,0,1
6083,0.0,0.0,21.0,360.0833333,0.0,0.00952381,0.0,0.0,5,1,1,6,15,0,0
6084,0.0,0.0,20.0,1187.5,0.0,0.016666667,26.8752,0.0,5,2,2,1,4,0,0
6085,2.0,158.0,6.0,73.21428571,0.0,0.02,0.0,0.0,3,1,1,1,2,0,0
6086,0.0,0.0,5.0,66.5,0.0,0.028571429,0.0,0.0,12,8,13,9,20,2,0
6087,0.0,0.0,8.0,258.8333333,0.0375,0.03125,0.0,0.0,5,3,2,6,4,0,1
6088,0.0,0.0,2.0,12.0,0.1,0.1,0.0,0.0,9,4,1,1,2,0,0
6089,0.0,0.0,9.0,700.0,0.0,0.011111111000000002,29.62188989,0.0,12,2,2,9,10,0,0
6090,0.0,0.0,3.0,144.5,0.0,0.1,0.0,0.0,11,3,2,2,2,1,0
6091,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,2,3,2,3,3,0,0
6092,0.0,0.0,22.0,1805.0833329999998,0.0,0.008695652,3.586636448,0.0,9,2,2,1,2,0,1
6093,0.0,0.0,48.0,2562.083333,0.0042553190000000005,0.0053191490000000004,0.0,0.0,5,2,5,7,4,0,0
6094,0.0,0.0,20.0,536.6166667,0.0,0.0028985509999999996,0.0,0.0,11,1,1,1,8,1,0
6095,0.0,0.0,16.0,519.8666667,0.0,0.0,0.0,0.0,7,1,1,1,4,0,0
6096,0.0,0.0,5.0,273.5,0.0,0.05,0.0,0.0,5,2,2,6,1,0,0
6097,0.0,0.0,7.0,352.7,0.0,0.014285714,0.0,0.0,10,1,1,3,4,0,0
6098,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,3,2,4,1,1,0,0
6099,0.0,0.0,17.0,256.95,0.0,0.02,0.0,0.0,11,2,4,1,8,1,1
6100,0.0,0.0,9.0,265.25,0.0,0.004,0.0,0.0,5,1,1,4,2,0,1
6101,0.0,0.0,19.0,1661.75,0.0,0.023529412000000003,0.0,0.0,5,2,2,3,1,0,0
6102,0.0,0.0,13.0,1212.0,0.0,0.0125,0.0,0.0,5,2,4,4,4,0,0
6103,0.0,0.0,80.0,4322.7791210000005,0.002272727,0.016394299999999997,8.069027652,0.0,5,2,2,2,2,0,0
6104,0.0,0.0,30.0,1011.916667,0.0,0.018285713999999998,12.9058765,0.0,9,2,2,4,4,0,0
6105,2.0,99.5,35.0,1475.266667,0.006944444,0.024867725,27.44491667,0.0,5,2,4,2,4,0,1
6106,0.0,0.0,4.0,32.0,0.0,0.075,0.0,0.0,3,3,2,6,1,0,0
6107,0.0,0.0,14.0,166.16666669999998,0.028571429,0.051190476,0.0,0.0,5,2,2,1,3,0,0
6108,0.0,0.0,3.0,189.0,0.0,0.066666667,0.0,0.0,3,3,2,8,1,0,0
6109,0.0,0.0,9.0,368.2,0.02,0.05,0.0,0.0,3,3,2,8,3,0,1
6110,1.0,437.5,55.0,1984.025,0.0,0.003486395,0.0,0.0,11,3,2,4,6,0,1
6111,0.0,0.0,90.0,601.7901961,0.0022222220000000003,0.012763533,0.0,0.8,5,2,2,3,1,0,0
6112,0.0,0.0,10.0,337.1,0.008333333,0.029166667,0.0,0.0,7,1,1,9,3,0,0
6113,0.0,0.0,1.0,12.0,0.0,0.1,0.0,0.0,5,1,1,4,1,0,1
6114,2.0,34.0,30.0,1049.833333,0.0125,0.028645833,0.0,0.0,5,2,2,6,4,0,1
6115,4.0,147.5,45.0,1424.8397439999999,0.012244898,0.031739553,0.0,0.0,12,1,1,3,2,0,1
6116,0.0,0.0,13.0,181.5,0.0,0.013333333000000001,0.0,0.0,3,2,2,1,1,0,0
6117,0.0,0.0,7.0,219.58333330000002,0.0,0.018181818,0.0,0.0,12,1,1,1,2,0,1
6118,0.0,0.0,25.0,506.7666666999999,0.017391304,0.038405797,0.0,0.0,5,3,2,4,3,0,0
6119,0.0,0.0,12.0,336.8,0.0,0.006666666999999999,0.0,0.6,5,2,2,1,2,0,0
6120,0.0,0.0,7.0,444.25,0.028571429,0.021428571,0.0,0.0,11,3,2,3,3,0,1
6121,0.0,0.0,3.0,105.25,0.0,0.04444444400000001,0.0,0.0,5,3,2,8,4,0,1
6122,0.0,0.0,60.0,2606.779545,0.006666666999999999,0.021944444,0.0,0.0,12,2,2,3,2,0,0
6123,0.0,0.0,13.0,257.0,0.035714286,0.078571429,0.0,0.0,11,1,1,2,2,0,0
6124,0.0,0.0,39.0,983.1388889000001,0.015384615,0.017599068,0.0,0.0,11,3,2,6,3,0,0
6125,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,3,3,2,3,1,0,0
6126,0.0,0.0,13.0,412.0,0.0,0.028205128,0.0,0.0,3,2,2,4,3,0,0
6127,0.0,0.0,32.0,1109.083333,0.00125,0.019375,0.0,0.0,12,2,2,1,2,0,1
6128,0.0,0.0,22.0,821.8933333,0.001515152,0.042424242,0.0,0.0,7,2,4,6,1,0,0
6129,0.0,0.0,7.0,496.75,0.0,0.011111111000000002,0.0,0.0,3,3,2,6,1,0,0
6130,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,12,1,1,6,2,0,1
6131,0.0,0.0,45.0,1387.267857,0.036507937000000004,0.059221273,0.0,0.0,7,3,2,9,13,0,0
6132,0.0,0.0,5.0,25.0,0.12,0.16,0.0,0.6,5,3,2,1,3,0,0
6133,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,6,3,2,3,13,0,0
6134,6.0,435.25,72.0,5251.382738,0.0,0.009969093,13.77521629,0.0,12,2,2,4,2,0,0
6135,0.0,0.0,51.0,1424.866667,0.004081633,0.020779221,0.0,0.6,5,2,2,4,1,0,0
6136,0.0,0.0,22.0,535.0,0.0,0.025,9.650250036000001,0.0,11,2,2,3,11,0,1
6137,3.0,56.9,80.0,1242.063095,0.004545455,0.020707071,0.0,0.0,10,2,2,3,1,0,0
6138,1.0,65.0,15.0,1728.3214289999999,0.014285714,0.016428571,0.0,0.0,3,1,1,6,1,0,0
6139,0.0,0.0,2.0,7.0,0.0,0.1,0.0,0.0,6,2,2,7,1,0,0
6140,0.0,0.0,192.0,4845.989214,0.005412371,0.022099252000000003,18.67564853,0.0,11,2,2,1,1,0,0
6141,1.0,11.0,11.0,66.83333333,0.0,0.019230768999999998,0.0,0.0,11,2,2,1,8,1,0
6142,0.0,0.0,37.0,769.0,0.0,0.004273504,47.93128205,0.0,5,3,2,3,2,1,1
6143,0.0,0.0,12.0,524.9692308,0.0,0.0125,0.0,0.0,9,2,2,5,2,1,0
6144,0.0,0.0,55.0,1420.472496,0.001212121,0.005750251,0.0,0.8,5,1,1,3,4,0,0
6145,0.0,0.0,19.0,429.63333330000006,0.0,0.005263158,0.0,0.0,3,2,4,1,3,0,1
6146,0.0,0.0,59.0,3296.55,0.006666666999999999,0.0265,0.0,0.0,7,2,2,4,13,0,0
6147,0.0,0.0,13.0,309.55,0.0,0.029166667,0.0,0.0,6,2,2,3,1,0,0
6148,0.0,0.0,31.0,2581.208333,0.025,0.032986111,0.0,0.4,5,3,2,6,1,0,0
6149,0.0,0.0,14.0,1049.05,0.0,0.016666667,0.0,0.0,11,3,2,1,20,0,0
6150,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.0,11,2,7,2,1,0,0
6151,0.0,0.0,10.0,264.25,0.016666667,0.025,0.0,0.0,11,1,4,8,8,1,1
6152,0.0,0.0,23.0,737.1666667000001,0.008695652,0.011594203,0.0,0.6,2,2,2,1,3,0,0
6153,0.0,0.0,21.0,1275.9,0.052380952,0.10158730199999999,0.0,0.0,9,2,4,5,1,0,0
6154,0.0,0.0,3.0,111.8,0.0,0.007142857,0.0,0.0,8,2,2,9,5,1,1
6155,1.0,0.0,106.0,6617.791228,0.009047619,0.026412307000000003,1.777492546,0.0,11,3,2,1,1,0,1
6156,1.0,23.5,56.0,2915.166667,0.0,0.0034482759999999997,80.118,0.0,5,2,4,3,3,1,0
6157,0.0,0.0,90.0,6951.972222,0.002150538,0.015013034,0.0,0.0,2,4,1,1,3,0,0
6158,0.0,0.0,23.0,845.2788889000001,0.0,0.011944443999999999,1.533539275,0.0,11,2,2,7,20,0,1
6159,0.0,0.0,5.0,71.0,0.0,0.04,0.0,0.0,5,4,1,1,2,0,1
6160,0.0,0.0,82.0,895.1111110999999,0.002325581,0.004844961,0.0,0.0,9,2,2,1,3,0,0
6161,2.0,171.5,54.0,1405.131241,0.0,0.006127451,37.41814196,0.0,3,3,2,3,2,1,1
6162,0.0,0.0,23.0,619.48,0.007692308,0.034615385,8.342755887000001,0.0,7,2,4,2,4,0,0
6163,0.0,0.0,31.0,688.1666667000001,0.0,0.019354839,0.0,0.0,3,4,1,1,3,0,0
6164,0.0,0.0,2.0,44.0,0.0,0.1,0.0,0.0,5,2,2,3,6,0,0
6165,0.0,0.0,33.0,889.72,0.012121212,0.04444444400000001,0.0,0.0,11,2,2,3,1,0,0
6166,2.0,17.0,77.0,4130.937879,0.011219512,0.029260777,43.99403085,0.0,11,4,1,1,2,0,0
6167,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,11,1,8,3,1,0,1
6168,4.0,222.0,30.0,2266.270833,0.005263158,0.029874687,0.0,0.0,11,3,2,1,2,0,0
6169,0.0,0.0,3.0,78.0,0.0,0.066666667,0.0,0.0,2,1,2,6,6,0,1
6170,0.0,0.0,16.0,344.4,0.023529412000000003,0.052941176,0.0,0.0,7,2,2,2,4,0,0
6171,0.0,0.0,11.0,546.75,0.036363636,0.054545455,0.0,0.0,11,2,2,5,1,0,0
6172,0.0,0.0,16.0,299.5,0.0,0.005555556,0.0,0.0,12,1,1,4,2,0,1
6173,0.0,0.0,22.0,2905.5,0.01,0.04,0.0,0.0,5,2,2,1,2,0,1
6174,0.0,0.0,7.0,274.25,0.0125,0.035,0.0,0.0,5,3,2,1,1,0,0
6175,0.0,0.0,7.0,70.0,0.0,0.028571429,0.0,0.0,5,2,2,1,2,0,0
6176,0.0,0.0,2.0,145.5,0.0,0.05,0.0,0.0,11,1,1,3,2,1,0
6177,0.0,0.0,26.0,1296.183333,0.036781609,0.060344827999999996,0.0,0.0,5,2,2,1,3,0,0
6178,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,8,3,3,2,2,0,1
6179,0.0,0.0,3.0,42.0,0.0,0.066666667,0.0,0.0,3,2,2,3,1,0,0
6180,0.0,0.0,2.0,99.5,0.0,0.022222222000000003,0.0,0.0,11,2,2,1,8,1,1
6181,0.0,0.0,8.0,148.75,0.0,0.025,0.0,0.0,3,2,4,3,2,0,1
6182,0.0,0.0,4.0,46.25,0.05,0.066666667,0.0,0.0,11,3,2,6,13,0,0
6183,3.0,61.0,83.0,2355.682738,0.002873563,0.022487296,0.0,0.0,12,1,1,1,2,0,0
6184,0.0,0.0,1.0,19.0,0.0,0.1,0.0,0.0,3,1,1,3,1,0,0
6185,1.0,10.0,58.0,3816.3666670000002,0.010606061000000002,0.028059162999999998,6.221045455,0.0,5,2,5,3,1,0,1
6186,0.0,0.0,17.0,141.5,0.082352941,0.11176470599999999,0.0,0.6,5,2,2,1,6,0,0
6187,0.0,0.0,3.0,236.0,0.0,0.025,0.0,0.0,3,3,2,1,3,0,1
6188,4.0,104.8,31.0,2725.708571,0.01047619,0.026482993,20.14579261,0.0,11,2,2,3,1,0,0
6189,0.0,0.0,4.0,93.0,0.0,0.1,0.0,0.0,3,2,2,9,6,0,0
6190,0.0,0.0,12.0,655.0,0.036363636,0.063636364,0.0,0.8,5,2,2,1,6,0,0
6191,0.0,0.0,69.0,2243.676587,0.0,0.002985075,97.9922066,0.0,11,2,2,2,2,0,0
6192,0.0,0.0,5.0,109.0,0.0,0.025,0.0,0.8,5,1,1,4,1,0,0
6193,1.0,31.2,52.0,1761.1566670000002,0.0037037040000000004,0.018312757,0.0,0.0,9,2,2,1,1,0,0
6194,0.0,0.0,37.0,501.7666666999999,0.01025641,0.020512821,0.0,0.0,9,2,2,1,1,0,0
6195,0.0,0.0,25.0,1711.3333329999998,0.0,0.008,0.0,0.0,5,2,2,1,1,0,0
6196,1.0,81.0,82.0,3214.020563,0.0,0.007723577,4.667079268,0.0,3,3,3,2,10,0,0
6197,0.0,0.0,54.0,941.4666667000001,0.0,0.003773585,26.67428219,0.0,8,4,5,1,1,0,0
6198,0.0,0.0,7.0,376.7,0.0,0.0,53.68539739999999,0.0,8,2,2,1,2,1,0
6199,3.0,216.6,6.0,432.0,0.0,0.024242424,0.0,0.0,9,1,1,1,5,1,0
6200,0.0,-1.0,1.0,-1.0,0.0,0.066666667,0.0,0.0,3,2,2,7,1,0,0
6201,0.0,0.0,8.0,347.6666667,0.0875,0.10208333300000001,0.0,0.2,5,3,2,1,3,0,0
6202,0.0,0.0,4.0,51.3,0.0,0.028571429,0.0,0.0,10,2,2,1,2,1,1
6203,0.0,0.0,10.0,250.8,0.0,0.01,0.0,0.0,3,2,2,4,3,0,0
6204,0.0,0.0,7.0,383.5,0.0,0.023809524,0.0,0.0,3,3,2,6,3,0,0
6205,1.0,8.0,36.0,1093.154762,0.0,0.001428571,0.0,0.0,5,1,1,6,4,0,0
6206,0.0,0.0,53.0,1481.429167,0.0018518520000000002,0.012345678999999998,56.31760103,0.0,11,1,8,1,11,0,1
6207,0.0,0.0,37.0,1065.25641,0.020767196,0.054225865,0.0,0.0,12,1,1,8,1,0,1
6208,2.0,4.0,2.0,19.0,0.0,0.033333333,0.0,0.0,3,1,1,8,2,1,0
6209,1.0,14.0,55.0,3328.903752,0.007936508,0.014212018,38.60204838,0.0,11,1,1,1,2,0,0
6210,0.0,0.0,12.0,548.1666667000001,0.016666667,0.071666667,0.0,0.0,11,2,2,2,3,0,0
6211,0.0,0.0,74.0,2326.666667,0.0,0.002597403,5.015272727,0.0,5,2,4,3,2,1,0
6212,2.0,21.6,32.0,1718.387778,0.004761905,0.01038961,0.0,0.0,8,3,2,1,2,0,1
6213,0.0,0.0,6.0,161.66666669999998,0.0,0.05,0.0,0.0,12,2,2,9,3,1,0
6214,1.0,117.0,8.0,404.0,0.025,0.0375,0.0,0.0,12,2,2,8,2,0,0
6215,3.0,108.0,205.0,4295.305066,0.001746725,0.008801049,177.5288252,0.0,11,2,5,3,3,0,1
6216,5.0,143.75,2.0,17.0,0.025,0.05,0.0,0.0,12,3,2,3,1,0,0
6217,0.0,0.0,4.0,50.0,0.0,0.075,0.0,0.0,5,2,2,8,4,0,0
6218,0.0,0.0,51.0,1219.054286,0.0,0.012113703,9.063088034,0.0,8,2,2,2,1,0,0
6219,0.0,0.0,7.0,121.0,0.028571429,0.057142857000000005,0.0,0.0,12,2,2,7,3,0,1
6220,0.0,0.0,9.0,146.375,0.075,0.0875,0.0,0.0,11,3,2,1,13,0,0
6221,0.0,0.0,29.0,2999.716667,0.0,0.005952381,0.0,0.0,12,3,2,2,6,0,0
6222,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,7,3,2,1,4,0,0
6223,0.0,0.0,96.0,1304.973333,0.003921569000000001,0.008309991,6.175932014,0.0,10,2,2,1,3,0,0
6224,0.0,0.0,7.0,203.5,0.0,0.033333333,0.0,0.0,3,1,1,1,9,1,1
6225,0.0,0.0,32.0,1080.047619,0.0,0.01015625,0.0,0.0,3,2,2,7,2,0,0
6226,0.0,0.0,3.0,44.5,0.0,0.066666667,0.0,0.0,3,1,1,3,1,0,0
6227,0.0,0.0,33.0,1077.869048,0.0015625,0.01953125,0.0,0.0,3,3,2,6,2,0,0
6228,0.0,0.0,19.0,621.4166667000001,0.0,0.015789473999999998,0.0,0.0,12,4,1,1,2,0,1
6229,0.0,0.0,32.0,1403.828355,0.0,0.0031531529999999997,37.05600958,0.0,11,2,2,3,2,0,0
6230,0.0,0.0,15.0,618.25,0.0,0.026666667,0.0,0.0,12,2,2,7,8,1,1
6231,1.0,50.0,30.0,1461.666667,0.0,0.02125,0.0,0.0,3,2,5,1,3,0,0
6232,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,3,2,4,1,1,0,1
6233,0.0,0.0,3.0,29.0,0.0,0.066666667,0.0,0.0,5,2,2,1,4,0,1
6234,0.0,0.0,119.0,1243.180556,0.0,0.007668207,1.809360775,0.0,5,2,2,1,2,0,0
6235,0.0,0.0,22.0,3410.875,0.019871795,0.09,0.0,0.0,3,2,2,1,2,0,0
6236,2.0,72.5,80.0,1552.504762,0.002247191,0.00952381,28.25395506,0.0,5,2,2,3,4,0,0
6237,0.0,0.0,32.0,2759.6333329999998,0.027083332999999998,0.038541667,0.0,0.0,5,3,2,3,2,0,0
6238,0.0,0.0,20.0,537.625,0.0,0.01,0.0,0.0,12,8,13,9,20,2,0
6239,0.0,0.0,10.0,265.9333333,0.0,0.015277778,0.0,0.0,9,1,1,1,2,0,0
6240,0.0,0.0,8.0,731.0,0.0,0.04375,0.0,0.0,3,2,4,1,3,0,0
6241,6.0,292.0,26.0,807.0833332999999,0.0020833329999999997,0.011458333000000001,0.0,0.0,12,3,2,1,8,0,1
6242,0.0,0.0,17.0,931.0,0.027777778,0.062962963,0.0,0.0,5,3,2,1,13,0,0
6243,0.0,0.0,10.0,455.0,0.0,0.022222222000000003,25.7526389,0.0,12,1,1,2,2,1,0
6244,1.0,0.0,126.0,2645.833333,0.004511278,0.01597088,2.776907268,0.6,5,3,2,2,3,0,0
6245,0.0,0.0,11.0,547.5,0.018181818,0.024747475,0.0,1.0,5,3,3,3,1,0,1
6246,0.0,0.0,3.0,44.0,0.066666667,0.1,0.0,0.0,5,3,2,1,15,0,0
6247,1.0,0.0,32.0,1870.9666670000001,0.0,0.037037037,0.0,0.0,8,2,2,9,2,0,0
6248,0.0,0.0,37.0,1254.75,0.002631579,0.010175439,34.15414773,0.0,11,2,2,2,7,0,0
6249,0.0,0.0,18.0,391.5833333,0.0,0.025,0.0,0.0,12,2,2,7,2,1,0
6250,5.0,89.33333333,18.0,513.4666666999999,0.0,0.0034615379999999997,0.0,0.0,3,1,1,3,3,1,0
6251,2.0,6.0,28.0,728.7,0.0,0.009803922,0.0,0.0,10,2,10,1,3,0,0
6252,4.0,90.0,35.0,776.0190476,0.0,0.005714286,0.0,0.0,3,3,2,4,2,0,0
6253,0.0,0.0,31.0,445.625,0.019354839,0.030322581,0.0,0.0,11,2,2,2,3,0,0
